outcome,scenario,theta_true,method,R,decision,decision_mcse,coverage,coverage_mcse,bias,rmse,mean_M,mean_rhat
binary,S2,0.0,standard_uip,1000,0.167,0.01179453263168999,0.888,0.00997276290703835,0.20409314373578766,0.41217323988998683,300.0,
binary,S2,0.5878,no_borrowing,1000,0.567,0.015668790636165896,0.933,0.007906389820898028,0.04348980583138676,0.36781528814199216,0.0,
binary,S2,0.5878,ps_power_prior,1000,0.694,0.014572714228996602,0.911,0.009004387819280108,0.15203909560354303,0.4041582862798251,27.942362897308275,
binary,S2,0.5878,ps_sam,1000,0.605,0.015458816254810716,0.939,0.007568289106528638,0.07922135622660353,0.37327487215300353,9.254685928753434,
binary,S2,0.5878,ps_uip_c,1000,0.582,0.015597307459943206,0.934,0.007851369307324675,0.05021754289430341,0.36828557569329656,3.918537936992472,
binary,S2,0.5878,ps_uip_psonly,1000,0.579,0.015612783224012303,0.935,0.0077958322198467015,0.05203778606461707,0.36946294131737895,4.627086694237064,
binary,S2,0.5878,standard_uip,1000,0.796,0.012742998077375669,0.88,0.010276186062932104,0.2524395871177912,0.4334952077167722,300.0,
binary,S3,0.0,no_borrowing,1000,0.061,0.0075682891065286355,0.931,0.008014923580421711,-0.025889447253642964,0.3863856008128704,0.0,
binary,S3,0.0,ps_power_prior,1000,0.253,0.013747399754135324,0.822,0.012096115078817663,0.28980008404490054,0.4380515578298177,100.0,
binary,S3,0.0,ps_sam,1000,0.207,0.012812142677944232,0.821,0.012122664723566351,0.1525760856543973,0.47630209635111403,106.93505683623391,
binary,S3,0.0,ps_uip_c,1000,0.094,0.009228434320078352,0.908,0.009139803061335619,-0.005814352593771545,0.3985469125686421,21.06950215170881,
binary,S3,0.0,ps_uip_psonly,1000,0.115,0.010088359628799918,0.884,0.010126401137620413,0.04415767973631556,0.4069686480191594,49.12606674734512,
binary,S3,0.0,standard_uip,1000,0.464,0.015770351930125086,0.627,0.015292841462592882,0.46683438850398806,0.5645110916990566,300.0,
binary,S3,0.5878,no_borrowing,1000,0.594,0.015529455882290275,0.935,0.0077958322198467015,0.07007088717818345,0.3793956564743434,0.0,
binary,S3,0.5878,ps_power_prior,1000,0.929,0.008121514637061239,0.77,0.013307892395116514,0.3887875491065835,0.5037495057890451,100.0,
binary,S3,0.5878,ps_sam,1000,0.72,0.014198591479439079,0.797,0.012719709116170855,0.2676337401104986,0.5131463383280802,111.63521175915763,
binary,S3,0.5878,ps_uip_c,1000,0.618,0.01536476488593301,0.893,0.009775019181566856,0.09663578733746303,0.40151548263337505,23.280175233445988,
binary,S3,0.5878,ps_uip_psonly,1000,0.683,0.014714312760030622,0.864,0.010839926199010766,0.14887625677602023,0.4197318273284151,51.45521683950536,
binary,S3,0.5878,standard_uip,1000,0.989,0.0032983329122452166,0.52,0.0157987341265052,0.570178064139147,0.6464743769946176,300.0,
continuous,I,0.0,no_borrowing,1000,0.058,0.007391616873188166,0.935,0.0077958322198467015,-0.004493725520243007,0.1494657682979439,0.0,
continuous,I,0.0,ps_power_prior,1000,0.048,0.006759881655768835,0.953,0.00669260786241059,-0.0028770089804649873,0.1217095756233889,100.0,
continuous,I,0.0,ps_sam,1000,0.054,0.007147307185227175,0.941,0.007451107300260817,-0.002401046671929764,0.11948780689593175,197.58099825505678,
continuous,I,0.0,ps_uip_c,1000,0.065,0.007795832219846705,0.917,0.008724161850859943,-0.0033843867602457276,0.13541554921566262,144.60162789910288,
continuous,I,0.0,ps_uip_psonly,1000,0.062,0.007626008130076967,0.918,0.008676174272108645,-0.003114104369285355,0.13094427604078618,159.31515331395568,
continuous,I,0.0,standard_uip,1000,0.053,0.00708456067798138,0.932,0.00796090447122687,-0.0024889250302211263,0.11808992225633376,300.0,
continuous,I,0.4,no_borrowing,1000,0.866,0.010772372069326236,0.941,0.007451107300260817,0.0009079438954184393,0.1450347471524455,0.0,
continuous,I,0.4,ps_power_prior,1000,0.944,0.007270763371201131,0.956,0.006485676526007139,-0.00020560479193448166,0.1197957965864576,100.0,
